,Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
3169,1,1,3,9500,1,1,134.0,1,1,37,8,7,120.5,1,0,0,1,1,1,18,0,0,7,12,7,11.71666667,0,0,8,13,4,10.868,0,15.5,2.8,-4.06,Graduate
3256,1,1,2,9500,1,1,140.0,1,38,38,9,7,138.8,1,0,0,1,0,0,19,0,0,7,7,6,12.76666667,0,0,7,7,6,12.76666667,0,7.6,2.6,0.32,Graduate
179,1,7,1,9500,1,3,140.0,1,1,1,9,5,140.0,0,0,0,1,0,0,33,0,2,7,8,6,14.35,0,3,8,10,6,14.58333333,0,16.2,0.3,-0.92,Dropout
410,1,1,2,9500,1,1,137.0,1,19,19,7,7,120.8,1,0,0,1,0,1,18,0,0,8,8,7,14.65428571,0,0,8,8,7,14.65428571,0,10.8,1.4,1.74,Graduate
3112,1,17,4,9254,1,1,124.0,1,1,1,4,4,122.3,1,0,0,1,0,0,19,0,0,6,7,6,11.66666667,0,0,6,6,6,12.33333333,0,13.9,-0.3,0.79,Dropout
2091,5,1,3,9085,1,1,133.0,1,19,19,4,7,119.7,1,0,0,1,0,0,21,0,0,5,13,5,12.2,2,0,5,10,3,11.33333333,1,9.4,-0.8,-3.12,Enrolled
51,1,1,1,9500,1,1,139.0,1,37,38,6,6,121.3,1,0,0,1,0,1,19,0,0,8,10,6,11.83333333,0,0,8,10,6,11.83333333,0,9.4,-0.8,-3.12,Enrolled
3153,1,1,1,171,1,1,156.0,1,3,3,2,2,147.7,1,0,0,1,0,0,21,0,6,12,12,12,15.33333333,0,4,11,15,11,15.0,0,8.9,1.4,3.51,Graduate
2594,1,17,1,9147,1,1,115.0,1,19,19,7,7,115.0,1,0,0,1,0,0,23,0,0,5,7,2,10.0,1,0,5,9,1,12.0,0,9.4,-0.8,-3.12,Enrolled
1910,1,1,2,9670,1,1,120.0,1,3,19,4,5,115.5,1,0,0,1,0,0,18,0,0,6,8,5,13.0,0,0,6,8,5,14.0,0,13.9,-0.3,0.79,Graduate
2580,1,1,1,9238,1,1,145.0,1,19,37,4,7,148.9,1,0,0,1,0,1,18,0,0,6,6,6,13.66666667,0,0,6,6,6,13.0,0,10.8,1.4,1.74,Graduate
3551,1,39,1,9238,1,19,133.1,1,37,37,9,9,139.0,0,0,1,0,1,0,33,0,0,6,8,0,0.0,0,0,5,6,0,0.0,0,16.2,0.3,-0.92,Dropout
3773,1,39,1,9085,1,19,133.1,1,37,37,9,9,100.0,1,0,1,0,0,1,26,0,0,6,7,0,0.0,0,0,6,6,0,0.0,0,13.9,-0.3,0.79,Dropout
2104,1,1,1,9238,1,1,136.0,1,19,38,9,9,121.7,0,1,0,1,0,1,20,0,0,6,9,6,11.875,0,0,6,7,6,14.42857143,0,16.2,0.3,-0.92,Graduate
599,1,17,1,9003,1,1,133.0,1,38,37,9,9,125.3,1,0,0,1,0,0,21,0,12,18,22,18,11.88888889,1,11,13,13,13,11.46153846,0,15.5,2.8,-4.06,Graduate
2807,1,1,1,9670,1,1,122.0,1,12,12,5,7,126.6,1,0,0,1,0,0,18,0,0,6,8,6,14.625,0,0,6,9,6,14.14285714,0,11.1,0.6,2.02,Enrolled
2767,6,17,3,8014,0,1,115.0,1,19,1,5,90,115.0,0,0,0,0,0,0,24,0,0,5,5,0,0.0,0,0,5,10,0,0.0,0,10.8,1.4,1.74,Dropout
3218,1,43,1,8014,0,1,148.0,1,37,37,9,9,134.7,0,0,0,1,0,0,23,0,9,13,15,9,11.0,0,4,11,12,7,11.57142857,0,15.5,2.8,-4.06,Enrolled
642,1,1,1,9147,1,1,129.0,1,37,38,4,9,121.0,1,0,0,1,0,0,18,0,0,5,8,2,10.5,0,0,5,7,3,12.33333333,0,7.6,2.6,0.32,Enrolled
3195,1,17,2,9773,1,1,120.0,1,1,1,2,5,127.0,1,0,0,0,1,0,18,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,Dropout
4132,1,44,1,9085,1,39,140.0,1,3,38,2,9,140.0,1,0,0,1,0,0,21,0,7,12,18,8,12.25,0,4,12,27,8,12.2,0,12.4,0.5,1.79,Enrolled
3340,1,1,3,9773,1,1,142.0,1,34,1,5,10,136.1,1,0,0,0,1,0,19,0,0,4,8,0,0.0,1,0,6,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
1812,2,51,1,9500,1,1,130.0,1,37,37,5,5,120.0,0,0,0,1,1,0,44,0,0,7,11,5,12.1,0,0,7,10,5,12.6,0,11.1,0.6,2.02,Dropout
1775,1,1,3,9773,1,1,149.0,1,1,3,0,0,148.7,0,0,0,0,1,0,20,0,0,4,4,0,0.0,0,0,4,8,0,0.0,0,10.8,1.4,1.74,Dropout
2086,1,7,1,8014,0,3,140.0,1,1,1,4,4,140.0,0,0,0,1,0,0,30,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout
175,1,1,1,9670,1,1,131.0,1,37,37,9,9,123.0,1,0,0,1,0,1,18,0,0,5,6,3,11.66666667,0,0,5,6,4,13.5,0,7.6,2.6,0.32,Enrolled
670,1,1,1,9238,1,1,151.0,1,37,1,9,9,138.4,1,0,0,1,0,1,20,0,0,6,8,6,14.25,0,0,6,8,6,11.0,0,12.7,3.7,-1.7,Graduate
2691,1,1,1,9147,1,1,127.0,1,1,4,9,10,121.8,0,0,0,1,1,0,19,0,0,5,8,5,11.6,0,0,5,10,4,13.5,3,16.2,0.3,-0.92,Graduate
1189,1,1,1,9670,1,1,141.0,1,1,19,4,4,132.6,0,0,0,1,0,1,18,0,0,6,8,6,14.0,0,0,6,7,6,13.14285714,0,11.1,0.6,2.02,Graduate
2110,1,44,3,9085,1,39,150.0,1,1,19,4,1,150.0,1,0,0,1,0,0,19,0,0,5,10,1,13.0,1,0,5,8,3,15.33333333,0,12.7,3.7,-1.7,Enrolled
3699,1,1,1,9085,1,1,123.0,1,3,1,2,5,112.9,0,0,0,1,1,0,18,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
4299,1,17,1,9147,1,1,120.0,1,38,38,9,8,118.3,0,0,0,1,1,0,18,0,0,5,13,1,10.0,0,0,5,5,1,10.0,0,12.7,3.7,-1.7,Dropout
1181,1,16,1,9085,1,1,140.0,1,1,1,9,9,127.1,1,0,0,1,0,0,18,0,0,5,8,4,13.25,1,0,5,10,4,10.5,0,12.7,3.7,-1.7,Graduate
3578,1,17,4,9085,1,1,126.0,1,1,3,5,5,123.9,1,0,0,1,1,0,21,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout
3116,1,1,5,9500,1,1,144.0,1,37,37,7,9,126.8,1,0,1,0,0,0,18,0,0,7,0,0,0.0,0,0,8,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
3567,1,1,6,9119,1,1,126.0,1,19,19,7,3,116.6,1,0,0,1,1,1,20,0,0,5,6,5,14.0,0,0,5,7,5,13.8,0,8.9,1.4,3.51,Graduate
4221,1,1,1,9238,1,1,168.0,1,37,37,9,9,149.5,0,0,0,1,0,0,18,0,0,6,10,6,17.0,0,0,6,11,6,16.0,0,12.4,0.5,1.79,Graduate
3994,1,1,1,171,1,1,133.1,1,3,1,2,4,128.2,1,0,0,1,0,0,20,0,5,12,13,12,11.23076923,0,3,11,18,9,12.77777778,0,11.1,0.6,2.02,Graduate
3750,1,17,2,9500,1,1,130.0,1,38,38,7,7,122.5,1,0,0,1,0,0,19,0,0,8,8,7,13.93714286,0,0,8,8,7,13.93714286,0,10.8,1.4,1.74,Graduate
1313,1,1,4,9500,1,1,144.0,1,3,39,2,3,129.0,1,0,0,1,0,0,18,0,0,7,8,7,12.65,0,0,8,9,8,13.41111111,0,16.2,0.3,-0.92,Dropout
1454,1,1,1,9119,1,1,121.0,1,3,1,2,3,114.0,0,0,0,1,1,0,20,0,0,5,9,4,11.6,0,0,5,7,4,12.25,2,7.6,2.6,0.32,Enrolled
296,1,17,2,9773,1,1,126.0,1,19,38,9,8,118.7,1,0,0,1,0,1,18,0,0,6,6,6,14.16666667,0,0,6,6,6,13.66666667,0,12.4,0.5,1.79,Graduate
2929,1,1,3,9500,1,1,136.0,1,1,1,4,4,127.0,1,0,0,1,0,0,19,0,0,8,10,1,13.67,7,0,8,10,1,13.67,7,9.4,-0.8,-3.12,Enrolled
3439,1,17,2,9556,1,1,133.1,1,37,38,9,8,106.0,1,0,0,1,0,0,19,0,0,7,16,2,12.75,0,0,7,12,2,11.0,0,8.9,1.4,3.51,Dropout
2515,1,17,4,9119,1,1,122.0,62,1,1,191,171,121.0,1,0,0,1,1,0,20,1,0,5,10,4,14.25,0,0,5,14,1,10.0,0,8.9,1.4,3.51,Enrolled
2413,2,39,2,8014,0,1,100.0,1,34,34,0,0,100.0,1,0,0,1,0,0,41,0,0,6,9,5,11.8,0,1,6,10,3,10.66666667,1,7.6,2.6,0.32,Graduate
598,1,17,1,9670,1,1,149.0,1,19,37,7,4,134.3,0,1,0,1,0,0,20,0,0,6,7,6,12.66666667,0,0,6,9,6,13.77777778,0,10.8,1.4,1.74,Graduate
308,1,1,3,9085,1,1,142.0,1,11,11,90,90,155.3,0,0,0,1,0,0,19,0,0,5,5,5,15.2,0,0,5,6,5,13.2,0,7.6,2.6,0.32,Graduate
1983,1,1,1,9500,1,1,147.0,1,38,19,5,8,147.3,0,0,0,1,0,0,18,0,0,7,7,6,13.96666667,0,0,7,7,6,13.96666667,0,7.6,2.6,0.32,Graduate
1491,1,1,1,9773,1,1,133.1,1,1,3,9,9,116.0,0,0,0,1,1,0,20,0,0,6,8,6,11.5,0,0,6,8,6,11.0,0,16.2,0.3,-0.92,Graduate
3928,1,1,6,171,1,1,134.0,1,19,37,5,5,126.0,1,0,0,1,0,1,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Graduate
2218,1,7,1,9773,1,43,140.0,1,19,1,4,8,140.0,0,0,0,1,1,0,25,0,0,6,6,6,14.66666667,0,0,6,6,6,13.5,0,11.1,0.6,2.02,Graduate
2112,1,1,2,9556,1,1,136.0,1,19,19,9,9,129.5,1,0,0,1,0,0,18,0,0,7,9,7,15.15555556,0,0,8,8,8,16.8,0,12.7,3.7,-1.7,Graduate
1106,1,1,2,9500,1,1,124.0,1,34,34,0,0,123.3,1,0,0,1,0,1,20,0,0,8,8,7,14.90142857,1,0,8,8,7,14.90142857,1,9.4,-0.8,-3.12,Dropout
471,1,1,1,9254,1,1,132.0,1,19,38,9,7,120.1,0,0,0,1,0,1,20,0,0,6,6,6,12.33333333,0,0,6,7,6,11.83333333,0,13.9,-0.3,0.79,Graduate
2542,1,17,2,9556,1,1,136.0,1,1,1,9,9,128.3,0,0,0,1,0,1,18,0,0,7,7,7,13.42857143,0,0,8,8,8,14.75,0,15.5,2.8,-4.06,Graduate
3038,1,1,1,9773,1,1,122.0,1,38,19,9,9,126.6,1,0,0,1,0,0,18,0,0,6,6,6,12.83333333,0,0,6,6,6,13.83333333,0,8.9,1.4,3.51,Graduate
1829,1,1,1,9147,1,1,128.0,1,38,37,5,6,122.1,0,0,0,1,0,1,18,0,0,5,11,4,11.57142857,0,0,5,9,5,12.0,0,13.9,-0.3,0.79,Enrolled
4305,1,1,5,9147,1,1,133.0,1,19,3,9,9,123.2,1,0,0,1,1,0,18,0,0,5,14,4,11.0,0,0,5,9,5,10.5,0,13.9,-0.3,0.79,Dropout
1178,4,39,1,9500,1,1,133.1,1,37,37,9,9,130.0,0,0,1,1,0,0,38,0,0,7,13,3,11.83333333,0,0,7,14,2,10.0,0,16.2,0.3,-0.92,Dropout
297,1,1,1,9238,1,1,125.0,1,1,1,3,3,125.7,1,0,0,1,0,0,18,0,0,6,10,6,11.57142857,0,0,6,8,6,12.33333333,0,12.4,0.5,1.79,Graduate
1971,1,17,1,9085,1,1,128.0,1,2,19,2,4,123.3,1,0,0,1,0,1,20,0,0,6,6,6,14.83333333,0,0,6,8,6,12.14285714,0,8.9,1.4,3.51,Graduate
2910,1,17,2,9773,1,1,123.0,1,1,1,3,3,120.9,1,0,0,1,0,0,18,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,13.9,-0.3,0.79,Dropout
2370,1,44,1,9003,1,1,140.0,1,1,1,4,5,140.0,0,0,0,1,1,0,20,0,0,6,11,6,11.28571429,0,0,6,12,5,11.77777778,0,16.2,0.3,-0.92,Enrolled
538,1,44,1,9003,1,39,140.0,1,19,38,3,9,140.0,1,0,0,1,1,0,21,0,0,6,7,6,12.85714286,0,0,6,6,6,13.16666667,0,12.4,0.5,1.79,Graduate
869,1,1,1,171,1,1,163.0,1,19,1,9,7,143.1,0,0,0,1,1,0,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Graduate
4095,1,1,4,9500,1,1,135.0,1,38,37,9,8,126.3,1,0,0,1,0,1,19,0,0,7,7,6,15.43333333,0,0,7,7,6,15.43333333,0,7.6,2.6,0.32,Graduate
2414,1,43,2,9147,1,1,130.0,1,34,37,9,9,118.5,1,0,0,1,1,0,23,0,5,10,19,8,11.625,1,4,10,16,10,11.18181818,3,7.6,2.6,0.32,Graduate
4125,1,43,1,9500,1,1,121.0,1,38,19,5,5,115.4,1,0,0,1,0,1,24,0,0,8,8,7,11.97142857,0,0,8,8,7,11.97142857,0,12.7,3.7,-1.7,Enrolled
17,1,17,2,9500,1,1,135.0,1,19,1,5,4,127.3,1,0,0,1,0,0,18,0,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate
3793,1,17,1,9773,1,1,128.0,1,19,38,5,7,125.6,1,0,0,1,1,0,19,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,Dropout
4141,1,7,1,9070,1,3,133.1,1,3,5,2,2,120.0,1,0,0,1,0,0,32,0,0,3,3,2,16.0,0,0,3,3,1,16.0,0,7.6,2.6,0.32,Dropout
3872,1,43,2,9500,1,6,119.1,1,1,19,4,10,119.1,0,0,0,1,1,0,22,0,0,7,7,6,12.73333333,0,0,7,7,6,12.73333333,0,7.6,2.6,0.32,Graduate
2127,1,1,3,9500,1,1,139.0,1,18,18,1,1,130.8,1,0,0,0,0,0,18,0,0,8,9,6,12.75833333,1,0,8,9,6,12.75833333,1,9.4,-0.8,-3.12,Dropout
1643,1,17,2,8014,0,1,122.0,1,37,19,9,9,123.8,0,0,0,1,0,0,20,0,0,6,8,5,12.0,0,0,6,8,6,11.0,0,10.8,1.4,1.74,Graduate
1113,1,39,1,9991,0,1,120.0,1,38,38,3,3,140.0,0,0,0,1,0,0,25,0,0,5,11,3,10.66666667,0,0,5,11,3,11.33333333,0,15.5,2.8,-4.06,Enrolled
2996,1,17,1,9238,1,1,128.0,1,19,1,0,5,122.1,1,0,0,1,0,0,18,0,0,6,9,5,11.83333333,0,0,6,7,5,13.8,0,13.9,-0.3,0.79,Graduate
2167,1,1,6,9147,1,1,112.0,1,38,38,9,9,117.3,1,0,0,1,0,0,20,0,0,5,8,4,12.0,0,0,5,8,5,11.2,0,11.1,0.6,2.02,Graduate
151,1,1,1,9085,1,1,129.0,1,1,38,4,7,123.4,0,0,0,1,0,0,19,0,0,5,6,5,12.4,0,0,5,6,5,13.4,0,7.6,2.6,0.32,Graduate
1842,1,1,1,9147,1,1,158.0,1,1,38,3,6,155.2,0,0,0,1,1,1,18,0,0,5,5,5,11.8,0,0,5,8,3,11.0,0,9.4,-0.8,-3.12,Graduate
3536,1,39,1,9991,0,1,110.0,1,37,37,9,9,139.0,0,0,0,1,1,0,40,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,12.7,3.7,-1.7,Dropout
2600,1,17,3,9853,1,1,138.0,1,37,37,5,9,125.1,1,1,0,1,0,1,19,0,0,6,6,6,13.5,0,0,6,8,5,12.8,0,12.7,3.7,-1.7,Dropout
4205,1,1,3,9500,1,1,154.0,1,1,37,4,9,134.8,1,0,0,1,0,0,19,0,0,7,7,6,13.53333333,0,0,7,7,6,13.53333333,0,7.6,2.6,0.32,Graduate
2893,2,43,1,8014,0,1,130.0,1,34,34,0,0,130.0,0,0,0,1,0,0,45,0,10,12,12,9,12.44444444,3,4,7,8,6,12.0,0,9.4,-0.8,-3.12,Dropout
2588,1,17,1,9853,1,1,120.0,1,37,37,9,10,122.6,0,0,0,1,0,0,20,0,0,6,8,3,12.33333333,0,0,6,11,2,10.5,0,12.7,3.7,-1.7,Dropout
1188,1,17,1,9254,1,1,128.0,1,19,1,5,7,120.7,1,0,1,1,0,0,18,0,0,6,8,6,11.66666667,0,0,6,10,4,11.5,0,13.9,-0.3,0.79,Graduate
1717,2,39,1,9500,1,1,100.0,1,37,38,4,4,130.0,0,0,0,1,1,1,33,0,0,8,16,1,10.0,1,0,8,16,1,10.0,1,12.7,3.7,-1.7,Enrolled
457,1,43,1,9853,1,1,140.0,1,37,19,9,8,122.3,0,0,0,1,0,0,22,0,0,6,9,5,13.6,0,0,6,8,5,12.0,0,12.7,3.7,-1.7,Dropout
4035,2,7,1,9130,1,2,110.0,1,19,19,4,8,110.0,1,0,0,1,1,0,37,0,0,6,9,0,0.0,0,0,6,6,0,0.0,0,16.2,0.3,-0.92,Dropout
3198,1,7,1,9254,1,3,110.0,1,19,19,3,3,110.0,0,0,0,1,1,0,35,0,0,6,7,0,0.0,0,0,6,6,0,0.0,0,16.2,0.3,-0.92,Dropout
3375,1,44,1,9003,1,39,160.0,1,38,38,6,6,160.0,1,0,0,1,0,0,21,0,0,6,11,6,13.42857143,0,0,6,12,6,12.85714286,0,15.5,2.8,-4.06,Graduate
2863,1,43,1,9853,1,1,140.0,1,37,37,6,6,125.2,0,0,1,1,0,0,41,0,20,21,23,21,12.33333333,0,19,19,19,19,12.10526316,0,12.4,0.5,1.79,Graduate
1426,1,44,1,9085,1,1,140.0,1,4,4,2,6,140.0,0,0,0,1,0,0,22,0,2,6,9,6,13.33333333,0,1,6,9,4,11.5,0,13.9,-0.3,0.79,Graduate
551,1,39,1,9773,1,19,133.1,1,19,1,7,9,115.0,1,0,1,0,1,0,25,0,0,6,10,4,13.0,0,0,6,9,4,13.75,0,12.7,3.7,-1.7,Dropout
1242,1,39,1,9119,1,19,133.1,1,1,19,4,5,100.0,0,0,0,1,1,0,25,0,0,5,13,1,11.0,0,0,5,11,1,10.0,0,13.9,-0.3,0.79,Enrolled
4198,1,5,1,9853,1,1,119.0,1,1,38,5,8,118.3,1,0,0,1,0,0,22,0,0,6,11,3,15.0,0,0,6,11,4,10.25,0,9.4,-0.8,-3.12,Enrolled
907,1,17,2,9238,1,1,145.0,1,19,38,7,6,128.6,1,0,0,1,0,1,19,0,0,6,12,5,11.71428571,0,0,6,11,6,11.0,0,12.7,3.7,-1.7,Graduate
3332,1,17,1,9119,1,1,126.0,1,1,1,9,9,116.2,0,0,1,0,1,0,21,0,0,5,9,2,11.0,0,0,5,8,2,11.5,2,7.6,2.6,0.32,Dropout
3518,2,42,1,9254,1,1,136.0,1,2,2,134,112,130.0,1,0,0,1,1,0,22,0,2,6,13,4,11.5,0,2,6,12,2,12.5,0,7.6,2.6,0.32,Dropout
1652,1,7,1,9991,0,40,120.0,1,43,3,3,3,120.0,0,0,0,1,0,0,27,0,0,5,5,5,15.2,0,0,5,6,5,14.0,0,11.1,0.6,2.02,Enrolled
1378,1,1,5,9070,1,1,117.0,1,19,37,5,5,131.0,1,0,1,0,1,0,21,0,0,6,6,1,14.0,0,0,6,7,0,0.0,7,9.4,-0.8,-3.12,Dropout
134,1,43,1,9238,1,1,130.0,1,38,37,9,7,133.2,0,0,0,1,0,0,20,0,5,9,15,9,11.66666667,0,2,7,8,7,11.71428571,0,7.6,2.6,0.32,Graduate
3395,1,53,1,9085,1,42,160.0,1,19,37,4,9,160.0,1,0,0,1,0,0,20,0,7,11,15,11,13.78571429,0,4,9,9,9,13.88888889,0,8.9,1.4,3.51,Graduate
2210,1,1,3,9500,1,1,149.0,1,1,1,4,4,129.3,1,0,0,1,1,0,18,0,0,8,8,7,13.1,0,0,8,8,7,13.1,0,12.7,3.7,-1.7,Graduate
429,1,17,1,9670,1,1,121.0,1,19,38,4,10,114.4,0,0,0,1,0,0,19,0,0,6,10,5,11.5,0,0,6,9,4,14.6,0,11.1,0.6,2.02,Graduate
990,1,17,1,9500,1,1,130.0,1,1,3,9,2,128.6,1,0,0,1,0,0,18,0,0,7,7,7,14.72857143,0,0,8,11,8,16.32727273,0,16.2,0.3,-0.92,Graduate
1407,1,1,2,9773,1,1,132.0,1,38,1,9,9,124.3,1,0,0,1,0,0,19,0,0,6,6,5,12.2,0,0,6,7,5,10.8,0,10.8,1.4,1.74,Enrolled
2915,6,39,1,8014,0,1,133.1,1,37,37,9,9,119.0,0,0,0,1,0,1,48,0,0,6,7,6,10.66666667,0,0,6,9,5,11.8,0,10.8,1.4,1.74,Enrolled
4313,1,43,1,9853,1,1,130.0,1,2,39,2,5,124.6,0,0,0,1,1,0,37,0,19,21,21,21,12.47619048,0,13,19,19,19,12.21052632,0,12.4,0.5,1.79,Graduate
93,2,39,1,9853,1,10,133.1,1,37,34,0,0,115.5,0,0,0,1,0,0,39,0,0,6,12,3,12.66666667,0,0,6,14,0,0.0,1,7.6,2.6,0.32,Dropout
463,1,39,1,9147,1,19,133.1,1,3,1,3,5,153.2,1,0,1,1,0,0,24,0,0,5,8,5,10.2,0,0,5,6,5,12.2,0,12.4,0.5,1.79,Graduate
2244,1,39,1,9254,1,19,133.1,1,37,37,90,90,100.0,0,0,0,1,1,0,48,0,0,6,13,3,10.0,0,0,6,15,1,10.0,0,7.6,2.6,0.32,Dropout
838,1,44,1,9130,1,39,150.0,1,3,1,2,8,150.0,0,0,0,0,1,0,22,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
274,1,1,1,9238,1,1,152.0,1,1,38,4,5,144.7,0,0,0,1,0,0,20,0,0,6,8,6,14.5,0,0,6,7,6,15.42857143,0,16.2,0.3,-0.92,Graduate
561,1,1,1,9130,1,1,132.0,1,1,1,3,3,143.9,1,0,0,1,1,0,20,0,0,5,14,2,11.0,3,0,5,9,3,12.66666667,0,9.4,-0.8,-3.12,Enrolled
2316,1,39,1,9119,1,19,133.1,1,1,1,4,3,134.4,0,0,1,0,1,0,31,0,0,5,9,2,13.33333333,0,0,5,9,2,16.0,4,16.2,0.3,-0.92,Dropout
4030,1,17,1,9130,1,1,145.0,1,38,37,9,7,129.3,1,0,0,1,0,0,19,0,0,5,5,5,11.8,0,0,5,5,5,13.2,0,10.8,1.4,1.74,Graduate
2304,1,17,1,9147,1,1,133.1,1,1,19,4,8,95.0,0,0,0,1,1,0,20,0,0,5,14,0,0.0,0,0,5,5,0,0.0,0,11.1,0.6,2.02,Dropout
3652,1,17,1,9556,1,1,133.0,1,38,37,9,9,124.4,1,0,0,1,0,1,18,0,0,7,7,7,13.3,0,0,8,8,8,15.125,0,15.5,2.8,-4.06,Graduate
999,1,1,3,9070,1,1,146.0,1,34,34,0,0,143.6,1,0,0,1,0,0,18,0,0,6,6,6,12.5,0,0,6,6,6,13.0,0,7.6,2.6,0.32,Dropout
1123,1,44,1,9003,1,39,160.0,1,37,38,9,9,160.0,0,0,1,1,0,1,19,0,0,6,8,6,13.0,0,0,6,11,5,13.0,0,15.5,2.8,-4.06,Graduate
3681,5,39,1,9147,1,1,133.1,1,19,19,9,9,119.8,0,0,0,1,1,0,26,0,0,5,9,5,12.0,0,0,5,5,5,10.2,0,11.1,0.6,2.02,Enrolled
1186,2,7,1,9500,1,3,120.0,1,37,19,9,7,120.0,1,0,0,1,0,0,45,0,7,11,11,11,12.7,0,6,10,12,10,12.96818182,0,13.9,-0.3,0.79,Enrolled
109,1,17,2,9853,1,1,133.1,1,19,1,9,3,107.0,1,0,0,1,0,0,20,0,0,7,12,6,11.66666667,0,0,7,10,3,13.0,0,16.2,0.3,-0.92,Enrolled
2948,1,1,6,9853,1,1,136.0,1,1,19,5,5,122.0,0,0,0,1,0,0,18,0,0,6,6,6,12.66666667,0,0,6,6,6,12.0,0,7.6,2.6,0.32,Graduate
315,1,1,1,9147,1,1,153.0,1,1,38,4,3,146.7,0,0,0,1,0,0,18,0,0,5,5,5,16.2,0,0,5,5,5,16.4,0,11.1,0.6,2.02,Graduate
2269,2,39,1,9991,0,1,100.0,1,37,37,1,1,161.9,0,0,0,1,1,0,59,0,0,5,7,0,0.0,0,0,5,7,0,0.0,0,16.2,0.3,-0.92,Dropout
